age,g,gs,mp,fg,fga,fg_pct,fg_pct_1,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pos_C,pos_PF,pos_PF-SF,pos_PG,pos_SF,pos_SF-SG,pos_SG,pos_SG-PG,pos_nan,tm_ATL,tm_BOS,tm_BRK,tm_CHI,tm_CHO,tm_CLE,tm_DAL,tm_DEN,tm_DET,tm_GSW,tm_HOU,tm_IND,tm_LAC,tm_LAL,tm_MEM,tm_MIA,tm_MIL,tm_MIN,tm_NOP,tm_NYK,tm_OKC,tm_ORL,tm_PHI,tm_PHO,tm_POR,tm_SAC,tm_SAS,tm_TOR,tm_TOT,tm_UTA,tm_WAS,tm_nan,performance_Bad,performance_Good,performance_nan
20.0,55.0,55.0,33.7,6.5,15.5,0.421,421.0,1.1,4.1,0.274,5.4,11.4,0.474,0.457,5.7,7.6,0.754,1.2,5.5,6.6,3.6,0.9,0.5,2.7,2.2,19.9,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
24.0,37.0,37.0,31.1,7.5,16.2,0.463,463.0,3.0,7.2,0.416,4.5,8.9,0.502,0.556,3.3,3.6,0.904,0.7,4.2,5.0,4.1,1.0,0.4,2.2,2.4,21.3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
23.0,27.0,2.0,9.3,1.7,4.1,0.411,411.0,0.5,1.7,0.283,1.2,2.4,0.5,0.469,0.6,0.7,0.789,0.3,1.0,1.3,1.1,0.5,0.4,0.6,1.1,4.4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
19.0,11.0,0.0,10.1,1.3,2.4,0.538,538.0,0.0,0.4,0.0,1.3,2.0,0.636,0.538,0.8,0.9,0.9,1.3,1.3,2.5,0.6,0.2,0.2,0.5,1.9,3.4,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
30.0,60.0,60.0,32.6,4.5,9.6,0.469,469.0,1.6,4.4,0.37,2.9,5.2,0.553,0.554,4.1,4.9,0.836,1.0,3.6,4.6,1.6,0.8,0.1,1.1,1.3,14.7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
21.0,59.0,58.0,35.3,6.0,13.3,0.453,453.0,0.9,3.1,0.301,5.1,10.2,0.499,0.488,2.6,3.4,0.769,2.3,4.7,7.0,4.8,1.0,0.9,2.1,2.2,15.5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
22.0,56.0,56.0,34.1,6.9,16.1,0.429,429.0,1.8,5.4,0.33,5.1,10.7,0.479,0.484,4.0,5.3,0.753,0.9,4.3,5.2,2.8,0.5,0.2,2.3,2.6,19.5,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
32.0,40.0,0.0,19.6,2.8,7.1,0.387,387.0,1.3,3.4,0.38,1.5,3.7,0.395,0.479,0.9,1.1,0.778,0.3,2.5,2.8,2.4,0.4,0.3,1.1,1.0,7.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
22.0,28.0,1.0,13.9,2.2,3.4,0.642,642.0,0.1,0.3,0.429,2.1,3.1,0.659,0.658,0.7,1.0,0.655,2.1,3.4,5.5,1.3,0.4,0.9,1.1,2.1,5.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
27.0,47.0,25.0,20.6,3.1,6.4,0.492,492.0,0.6,1.6,0.364,2.5,4.7,0.536,0.538,1.4,1.8,0.791,1.0,2.4,3.4,1.2,0.7,0.3,0.8,1.0,8.3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
